,Location,City,Property Type,Property(BHK),Rent,Availabilities,Tenant Preferreds,Carpet Areas(sqft),Bathrooms,Floors
412,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,12000,Immediately,Bachelors,150,1,5
413,Dandamudi Enclave,"Jeedimetla,",Flat,4,32000,Immediately,Bachelors/Family,1395,1,26
414,Hastinapuram,,Flat,2,13500,Immediately,Bachelors/Family,1600,5,1
415,Alwal,,Flat,2,85000,Immediately,Bachelors/Family,230,5,1
416,Puppalguda,,Flat,3,41000,Immediately,Bachelors/Family,400,3,1
417,Gachibowli,,Flat,3,36000,Immediately,Family,3600,3,1
418,"Kokapet, Outer Ring","Road,",Flat,2,160000,Immediately,Bachelors/Family,1500,2,3
419,leke villa,Gandipet,Villa,5,40000,Immediately,Family,750,2,6
420,"Kokapet, Outer Ring",Road,Villa,4,21000,Immediately,Bachelors,1200,1,2
421,Nalagandla,,Flat,4,6000,Immediately,Bachelors/Family,1200,1,1
422,Nalagandla,,Flat,3,25000,Immediately,Bachelors,1100,3,6
423,Kondapur,,Flat,2,150000,Immediately,Bachelors/Family,1600,3,1
424,"Kollur, Outer Ring",Road,Villa,5,95000,Immediately,Bachelors/Family,1900,8,1
425,Masjid,"Banda,",Flat,3,25000,Immediately,Bachelors/Family,1200,8,5
426,Shaikpet,,Flat,3,13000,Immediately,Bachelors/Family,1100,10,1
427,Pragathi Nagar,"Kukatpally,",Flat,3,30000,Immediately,Bachelors/Family,1200,10,3
428,Tirumalagiri,,Villa,2,15000,Immediately,Bachelors/Family,1200,2,4
429,Hitech,"City,",Flat,3,38000,Immediately,Bachelors,800,2,1
430,Kondapur,,Flat,3,20000,Immediately,Bachelors,1986,3,1
431,"Kokapet, Outer Ring","Road,",Flat,3,17000,Immediately,Bachelors/Family,350,3,3
432,Khajaguda,,Villa,4,22000,Immediately,Family,1200,3,2
433,Defence Colony,Sainikpuri,Flat,3,9000,Immediately,Bachelors,1700,3,1
434,Pragathi,"Enclave,",Flat,3,22000,Immediately,Bachelors/Family,550,2,5
435,"Financial District, Nanakram","Guda,",Flat,3,15000,Immediately,Bachelors/Family,795,2,1
436,Izzathnagar,,Flat,4,20000,Immediately,Bachelors/Family,550,1,10
437,"Basheer Bagh, NH","7,",Flat,2,26000,Immediately,Bachelors/Family,1500,1,4
438,Chanda,Nagar,Villa,3,11500,Immediately,Bachelors,1100,2,4
439,"Narsingi, Outer Ring","Road,",Flat,3,25000,Immediately,Bachelors/Family,1500,2,1
440,Narayanguda,,Flat,3,13000,Immediately,Family,1000,2,3
441,Gachibowli,,Flat,4,20000,Immediately,Bachelors/Family,2600,2,16
442,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,28000,Immediately,Bachelors,1400,3,3
443,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors/Family,1003,3,27
444,Hastinapuram,,Flat,2,16500,Immediately,Bachelors/Family,1600,2,1
445,Alwal,,Flat,2,35000,Immediately,Bachelors/Family,1300,2,12
446,Puppalguda,,Flat,3,25000,Immediately,Family,2400,2,6
447,Gachibowli,,Flat,3,18000,Immediately,Bachelors,1000,2,4
448,"Kokapet, Outer Ring","Road,",Flat,2,25000,Immediately,Bachelors/Family,1400,1,3
