,Location,City,Property Type,Property(BHK),Rent,Availabilities,Tenant Preferreds,Carpet Areas(sqft),Bathrooms,Floors
654,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,1908,5,1
655,Alwal,,Flat,2,30000,Immediately,Bachelors,3005,5,3
656,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,32000,3,5
657,Gachibowli,,Flat,3,50000,Immediately,Bachelors,4736,3,3
658,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,1800,2,3
659,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,7000,2,1
660,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,1800,2,20
661,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,1500,2,2
662,Nalagandla,,Flat,3,95000,Immediately,Family,2400,3,1
663,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,3000,3,9
664,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,1750,2,10
665,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,4300,2,28
666,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,1900,3,3
667,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,1700,3,2
668,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,1600,2,3
669,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,1550,2,25
670,Kondapur,,Flat,3,47000,Immediately,Bachelors,1150,3,6
671,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,400,3,4
672,Khajaguda,,Villa,4,110000,Immediately,Bachelors,580,3,5
673,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,1250,3,14
674,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,8000,4,3
675,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,1908,4,1
676,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,3005,1,3
677,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,32000,1,5
678,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,4736,2,5
679,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,1800,2,15
680,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,7000,5,1
681,Gachibowli,,Flat,4,28000,Immediately,Bachelors,1800,5,3
682,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,1500,4,5
683,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,2400,4,3
684,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,3000,2,3
685,Alwal,,Flat,2,30000,Immediately,Bachelors,1750,2,1
686,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,4300,3,20
687,Gachibowli,,Flat,3,50000,Immediately,Bachelors,1900,3,2
688,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,1700,2,1
689,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,1600,2,9
690,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,1550,2,10
691,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,1150,2,28
692,Nalagandla,,Flat,3,95000,Immediately,Family,400,2,3
693,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,580,2,2
694,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,1250,2,3
695,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,8000,2,25
696,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,1908,3,6
697,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,3005,3,4
698,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,32000,2,5
699,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,4736,2,14
700,Kondapur,,Flat,3,47000,Immediately,Bachelors,1800,2,3
701,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,7000,2,1
702,Khajaguda,,Villa,4,110000,Immediately,Bachelors,1800,2,3
703,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,1500,2,5
704,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,2400,3,5
705,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,3000,3,15
706,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,1750,2,1
707,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,4300,2,3
708,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,1900,4,5
709,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,1700,4,3
710,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,1600,5,3
711,Gachibowli,,Flat,4,28000,Immediately,Bachelors,1550,5,1
712,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,1150,2,20
713,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,400,2,2
714,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,580,2,1
715,Alwal,,Flat,2,30000,Immediately,Bachelors,1250,2,9
716,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,8000,3,10
717,Gachibowli,,Flat,3,50000,Immediately,Bachelors,1908,3,28
718,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,3005,2,3
719,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,32000,2,2
720,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,4736,4,3
721,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,1800,4,25
722,Nalagandla,,Flat,3,95000,Immediately,Family,7000,1,6
723,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,1800,1,4
724,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,1500,3,5
725,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,2400,3,14
726,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,3000,5,3
727,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,1750,5,1
728,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,4300,2,3
729,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,1900,2,5
730,Kondapur,,Flat,3,47000,Immediately,Bachelors,1700,2,5
731,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,1600,2,15
732,Khajaguda,,Villa,4,110000,Immediately,Bachelors,1550,1,1
733,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,1150,1,3
734,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,400,4,5
735,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,580,4,3
736,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,1250,2,3
737,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,,2,1
738,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,,1,20
739,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,,1,2
740,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,,4,1
741,Gachibowli,,Flat,4,28000,Immediately,Bachelors,,4,9
742,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,,1,10
743,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,,1,28
744,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,,1,3
745,Alwal,,Flat,2,30000,Immediately,Bachelors,,1,2
746,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,,2,3
747,Gachibowli,,Flat,3,50000,Immediately,Bachelors,,2,25
748,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,,3,6
749,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,,3,4
750,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,,2,5
751,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,,2,14
752,Nalagandla,,Flat,3,95000,Immediately,Family,,1,3
753,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,,1,1
754,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,,1,3
755,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,,1,5
756,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,,3,5
757,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,,3,15
758,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,,2,1
759,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,,2,3
760,Kondapur,,Flat,3,47000,Immediately,Bachelors,,4,5
761,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,,4,3
762,Khajaguda,,Villa,4,110000,Immediately,Bachelors,,2,3
763,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,,2,1
764,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,,1,20
765,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,,1,2
766,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,,2,1
767,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,,2,9
768,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,,1,10
769,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,,1,28
770,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,,2,3
771,Gachibowli,,Flat,4,28000,Immediately,Bachelors,,2,2
772,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,,2,3
773,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,,2,25
774,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,,2,6
775,Alwal,,Flat,2,30000,Immediately,Bachelors,,2,4
776,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,,2,5
777,Gachibowli,,Flat,3,50000,Immediately,Bachelors,,2,14
778,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,,2,3
779,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,,2,1
780,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,,2,3
781,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,,2,5
782,Nalagandla,,Flat,3,95000,Immediately,Family,,2,5
783,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,,2,15
784,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,,3,0
785,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,,3,0
786,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,,2,0
787,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,,2,0
788,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,,2,0
789,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,,2,0
790,Kondapur,,Flat,3,47000,Immediately,Bachelors,,2,0
791,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,,2,0
792,Khajaguda,,Villa,4,110000,Immediately,Bachelors,,2,0
793,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,,2,0
794,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,,2,0
795,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,,2,0
796,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,,2,0
797,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,,2,0
798,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,,2,0
799,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,,2,0
800,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,,2,0
801,Gachibowli,,Flat,4,28000,Immediately,Bachelors,,2,0
802,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,,2,0
803,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,,2,0
804,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,,3,0
805,Alwal,,Flat,2,30000,Immediately,Bachelors,,3,0
806,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,,1,0
807,Gachibowli,,Flat,3,50000,Immediately,Bachelors,,1,0
808,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,,2,0
809,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,,2,0
810,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,,3,0
811,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,,3,0
812,Nalagandla,,Flat,3,95000,Immediately,Family,,2,0
813,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,,2,0
814,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,,2,0
815,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,,2,0
816,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,,3,0
817,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,,3,0
818,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,,3,0
819,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,,3,0
820,Kondapur,,Flat,3,47000,Immediately,Bachelors,,2,0
821,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,,2,0
822,Khajaguda,,Villa,4,110000,Immediately,Bachelors,,3,0
823,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,,3,0
824,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,,3,0
825,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,,3,0
826,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,,2,0
827,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,,2,0
828,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,,3,0
829,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,,3,0
830,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,,2,0
831,Gachibowli,,Flat,4,28000,Immediately,Bachelors,,2,0
832,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,,2,0
833,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,,2,0
834,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,,1,0
835,Alwal,,Flat,2,30000,Immediately,Bachelors,,1,0
836,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,,2,0
837,Gachibowli,,Flat,3,50000,Immediately,Bachelors,,2,0
838,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,,2,0
839,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,,2,0
840,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,,1,0
841,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,,1,0
842,Nalagandla,,Flat,3,95000,Immediately,Family,,3,0
843,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,,3,0
844,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,,1,0
845,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,,1,0
846,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,,2,0
847,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,,2,0
848,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,,3,0
849,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,,3,0
850,Kondapur,,Flat,3,47000,Immediately,Bachelors,,1,0
851,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,,1,0
852,Khajaguda,,Villa,4,110000,Immediately,Bachelors,,2,0
853,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,,2,0
854,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,,1,0
855,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,,1,0
856,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,,2,0
857,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,,2,0
858,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,,2,0
859,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,,2,0
860,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,,2,0
861,Gachibowli,,Flat,4,28000,Immediately,Bachelors,,2,0
862,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,,2,0
863,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,,2,0
864,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,,4,0
865,Alwal,,Flat,2,30000,Immediately,Bachelors,,4,0
866,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,,3,0
867,Gachibowli,,Flat,3,50000,Immediately,Bachelors,,3,0
868,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,,2,0
869,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,,2,0
